C9orf152	NM_001012993	hypothetical protein LOC401546
OR10A2	NM_001004460	olfactory receptor, family 10, subfamily A,
CIAO1	NM_004804	WD repeat domain 39
SELL	NM_000655	selectin L precursor
SNORD115-26	NR_003343
OR8J3	NM_001004064	olfactory receptor, family 8, subfamily J,
LTBP4	NM_001042544/NM_003573/NM_001042545	latent transforming growth factor beta binding
OR6C1	NM_001005182	olfactory receptor, family 6, subfamily C,
CCL19	NM_006274	small inducible cytokine A19 precursor
SIRT6	NM_016539	sirtuin 6
PPIL1	NM_016059	peptidylprolyl isomerase-like 1
GBP7	NM_207398	guanylate binding protein 4-like
ANKRD56	NM_001029870	ankyrin repeat domain 56
STK17A	NM_004760	serine/threonine kinase 17a
OR9G1	NM_001005213	olfactory receptor, family 9, subfamily G,
ABR	NM_021962/NM_001092	active breakpoint cluster region-related
FOXE1	NM_004473	forkhead box E1
PCDHA13	NM_031865/NM_018904	protocadherin alpha 13 isoform 2 precursor/protocadherin alpha 13 isoform 1 precursor
RIMBP3B	NM_001128635	RIMS binding protein 3B
GML	NM_002066	glycosylphosphatidylinositol anchored molecule
CNGA3	NM_001298/NM_001079878	cyclic nucleotide gated channel alpha 3 isoform
CD38	NM_001775	CD38 antigen
ZDHHC6	NM_022494	zinc finger, DHHC-type containing 6
NEFH	NM_021076	neurofilament, heavy polypeptide 200kDa
PGBD5	NM_024554	piggyBac transposable element derived 5
CTDSP2	NM_005730	nuclear LIM interactor-interacting factor 2
ZNF257	NM_033468	zinc finger protein 257
RMND5B	NM_022762	required for meiotic nuclear division 5 homolog
CCNY	NM_145012/NM_181698	cyclin Y isoform 1/cyclin Y isoform 2
FLJ22167	NM_001077416/NM_001077418/NM_001077419	hypothetical protein LOC79583 isoform 1/hypothetical protein LOC79583 isoform 2/hypothetical protein LOC79583 isoform 3
C11orf88	NM_207430/NM_001100388	hypothetical protein LOC399949 isoform 1/hypothetical protein LOC399949 isoform 2
EXOSC7	NR_023353/NM_015004	exosome component 7
ROR2	NM_004560	receptor tyrosine kinase-like orphan receptor 2
MAOA	NM_000240	monoamine oxidase A
TNNT3	NM_001042780/NM_006757/NM_001042781/NM_001042782	troponin T3, skeletal, fast isoform 3/troponin T3, skeletal, fast isoform 1/troponin T3, skeletal, fast isoform 2/troponin T3, skeletal, fast isoform 4
GYPC	NM_016815/NM_002101	glycophorin C isoform 2/glycophorin C isoform 1
PLIN	NM_002666	perilipin
C7orf33	NM_145304	hypothetical protein LOC202865
LOC90826	NM_138364	hypothetical protein LOC90826
RNF4	NM_002938	ring finger protein 4
F8A1	NM_012151	coagulation factor VIII-associated protein
HDAC7	NM_015401/NM_001098416	histone deacetylase 7 isoform a/histone deacetylase 7 isoform d
PLEKHG4	NM_015432/NM_001129727/NM_001129728/NM_001129729/NM_001129731	pleckstrin homology domain containing, family G
GRB2	NM_203506/NM_002086	growth factor receptor-bound protein 2 isoform
DUS3L	NM_020175	dihydrouridine synthase 3-like
HIST1H2AD	NM_021065	histone cluster 1, H2ad
EIF1	NM_005801	eukaryotic translation initiation factor 1
FPGT	NM_003838	fucose-1-phosphate guanyltransferase
CCT8L1	NM_001029866	chaperonin containing TCP1, subunit 8
GDF10	NM_004962	growth differentiation factor 10 precursor
GPN2	NM_018066	ATP binding domain 1 family, member B
COQ9	NM_020312	coenzyme Q9 homolog
TRAPPC9	NM_031466	trafficking protein particle complex 9
GCC2	NM_181453/NM_014635	GRIP and coiled-coil domain-containing 2 isoform
RARRES3	NM_004585	retinoic acid receptor responder (tazarotene
PLXNA1	NM_032242	plexin A1
KIAA0100	NM_014680	hypothetical protein LOC9703
FNDC1	NM_032532	fibronectin type III domain containing 1
PMF1	NM_007221	polyamine-modulated factor 1
HS2ST1	NM_012262/NM_001134492	heparan sulfate 2-O-sulfotransferase 1 isoform
CRELD2	NM_024324/NM_001135101	cysteine-rich with EGF-like domains 2 isoform b/cysteine-rich with EGF-like domains 2 isoform a
C8G	NM_000606	complement component 8, gamma polypeptide
CD82	NM_002231/NM_001024844	CD82 antigen isoform 1/CD82 antigen isoform 2
PIRT	NM_001101387	phosphoinositide-interacting regulator of
LIM2	NM_030657	lens intrinsic membrane protein 2, 19kDa
MMP16	NM_022564/NM_005941	matrix metalloproteinase 16 isoform 2/matrix metalloproteinase 16 isoform 1
MIMT1	NR_024059
DRD3	NM_000796/NM_033663	dopamine receptor D3 isoform a/dopamine receptor D3 isoform e
C5orf26	NR_015370
C11orf73	NM_016401	lethal, Chr 7, Rinchik 6
PTP4A2	NM_080391/NM_080392	protein tyrosine phosphatase type IVA, member 2
OR4M2	NM_001004719	olfactory receptor, family 4, subfamily M,
HPCA	NM_002143	hippocalcin
SEC14L1	NM_003003/NM_001039573	SEC14 (S. cerevisiae)-like 1 isoform a/SEC14 (S. cerevisiae)-like 1 isoform b
EMILIN1	NM_007046	elastin microfibril interfacer 1
CHFR	NM_018223	checkpoint with forkhead and ring finger
NDUFS4	NM_002495	NADH dehydrogenase (ubiquinone) Fe-S protein 4
COL18A1	NM_030582/NM_130445/NM_130444	alpha 1 type XVIII collagen isoform 1 precursor/alpha 1 type XVIII collagen isoform 2 precursor/alpha 1 type XVIII collagen isoform 3 precursor
PDZD3	NM_024791	PDZ domain containing 3
PRAMEF7	NM_001012277	PRAME family member 7
C9orf16	NM_024112	hypothetical protein LOC79095
ERBB2IP	NM_018695/NM_001006600	ERBB2 interacting protein isoform 2/ERBB2 interacting protein isoform 7
FUS	NM_004960	fusion (involved in t(12;16) in malignant
EMX2	NM_004098	empty spiracles homeobox 2
TF	NM_001063	transferrin
CLCN4	NM_001830	chloride channel 4
CXorf56	NM_022101	hypothetical protein LOC63932
NPR1	NM_000906	natriuretic peptide receptor 1
ELAC2	NM_018127	elaC homolog 2
ASS1	NM_054012/NM_000050	argininosuccinate synthetase 1
USP42	NM_032172	ubiquitin specific protease 42
SEC23IP	NM_007190	Sec23-interacting protein p125
POLR2J	NM_006234	DNA directed RNA polymerase II polypeptide J
UQCRC1	NM_003365	ubiquinol-cytochrome c reductase core protein I
LOC729603	NR_003288
C1orf71	NM_152609	hypothetical protein LOC163882
POLG	NM_002693/NM_001126131	DNA polymerase gamma
ADAM23	NM_003812	ADAM metallopeptidase domain 23 preproprotein
TFR2	NM_003227	transferrin receptor 2
RICTOR	NM_152756	rapamycin-insensitive companion of mTOR
GRXCR2	NM_001080516	glutaredoxin, cysteine rich 2
FLJ42709	NR_021490/NR_021491/NR_015369
SNORD105	NR_004381
HLA-J	NR_024240
C19orf55	NM_001039887	hypothetical protein LOC148137
SNAPC1	NM_003082	small nuclear RNA activating complex,
GNA11	NM_002067	guanine nucleotide binding protein (G protein),
CCDC52	NM_144718	coiled-coil domain containing 52
FSIP1	NM_152597	fibrous sheath interacting protein 1
IGSF11	NM_001015887/NM_152538	immunoglobulin superfamily, member 11 isoform b/immunoglobulin superfamily, member 11 isoform a
UPF3A	NM_023011/NM_080687	UPF3 regulator of nonsense transcripts homolog A
LAGE3	NM_006014	L antigen family, member 3
CHST6	NM_021615	carbohydrate (N-acetylglucosamine 6-O)
UNC13B	NM_006377	UNC13 (C. elegans)-like
TTLL4	NM_014640	tubulin tyrosine ligase-like family, member 4
ZNF687	NM_020832	zinc finger protein 687
SDC2	NM_002998	syndecan 2 precursor
COX7A2	NM_001865	cytochrome c oxidase subunit VIIa polypeptide 2
LAMB4	NM_007356	laminin, beta 4
FAM24A	NM_001029888	family with sequence similarity 24, member A
GPHB5	NM_145171	glycoprotein beta 5
AHCYL2	NM_015328/NM_001130720/NM_001130722/NM_001130723	S-adenosylhomocysteine hydrolase-like 2 isoform
LRRTM3	NM_178011	leucine rich repeat transmembrane neuronal 3
OR4C13	NM_001001955	olfactory receptor, family 4, subfamily C,
EIF3EIP	NM_016091	eukaryotic translation initiation factor 3
HABP4	NM_014282	hyaluronan binding protein 4
TMEM125	NM_144626	transmembrane protein 125
CNTN2	NM_005076	contactin 2 precursor
ASNSD1	NM_019048	asparagine synthetase domain containing 1
FUT4	NM_002033	fucosyltransferase 4
BAGE4	NM_181704	B melanoma antigen family, member 4
LOC646643	NM_001101401	hypothetical protein LOC646643
RP9	NM_203288	retinitis pigmentosa 9
LOC158381	NR_003581/NR_003582
ARAP1	NM_001040118/NM_015242/NM_001135190	ArfGAP with RhoGAP domain, ankyrin repeat and PH
CDH8	NM_001796	cadherin 8, type 2 preproprotein
AGPS	NM_003659	alkyldihydroxyacetone phosphate synthase
C4orf18	NM_016613/NM_001031700/NM_001128424	hypothetical protein LOC51313 isoform 2/hypothetical protein LOC51313 isoform 1
PP14571	NR_024014
CLEC4GP1	NR_002931
PECI	NM_206836/NM_006117	peroxisomal D3,D2-enoyl-CoA isomerase isoform 2/peroxisomal D3,D2-enoyl-CoA isomerase isoform 1
UNG	NM_080911/NM_003362	uracil-DNA glycosylase isoform UNG2/uracil-DNA glycosylase isoform UNG1 precursor
GSTP1	NM_000852	glutathione transferase
DCUN1D5	NM_032299	DCN1, defective in cullin neddylation 1, domain
SLC9A3R1	NM_004252	solute carrier family 9 (sodium/hydrogen
LILRA6	NM_024318	leukocyte immunoglobulin-like receptor,
CHMP7	NM_152272	CHMP family, member 7
REM2	NM_173527	rad and gem related GTP binding protein 2
DNHD1	NM_144666	dynein heavy chain domain 1
FKBP4	NM_002014	FK506 binding protein 52
ZNF350	NM_021632	zinc finger protein 350
BST1	NM_004334	bone marrow stromal cell antigen 1 precursor
KISS1R	NM_032551	G protein-coupled receptor 54
NCR2	NM_004828	natural cytotoxicity triggering receptor 2
DEFB125	NM_153325	defensin, beta 125 preproprotein
UBE2W	NM_001001481/NM_018299	ubiquitin-conjugating enzyme E2W (putative)
OR2T29	NM_001004694	olfactory receptor, family 2, subfamily T,
SNORA78	NR_003020
KRT15	NM_002275	keratin 15
C10orf99	NM_207373	hypothetical protein LOC387695 precursor
SCN11A	NM_014139	sodium channel, voltage-gated, type XI, alpha
GFI1	NM_005263/NM_001127215/NM_001127216	growth factor independent 1
RDHE2	NM_138969	epidermal retinal dehydrogenase 2
FHL1	NM_001449	four and a half LIM domains 1
GATA1	NM_002049	GATA binding protein 1
SMC6	NM_024624	SMC6 protein
OSGEP	NM_017807	O-sialoglycoprotein endopeptidase
TTTY14	NR_001543
LPIN3	NM_022896	lipin 3
RPL4	NM_000968	ribosomal protein L4
RBPMS	NM_001008711/NM_006867/NM_001008710/NM_001008712	RNA-binding protein with multiple splicing
PRPF3	NM_004698	PRP3 pre-mRNA processing factor 3 homolog
EMR1	NM_001974	egf-like module containing, mucin-like, hormone
SPATA19	NM_174927	spermatogenesis associated 19
IRX3	NM_024336	iroquois homeobox 3
XCR1	NM_001024644/NM_005283	XC chemokine receptor 1
ELFN1	NM_001128636	extracellular leucine-rich repeat and
RBM6	NM_005777	RNA binding motif protein 6
KLF4	NM_004235	Kruppel-like factor 4 (gut)
C16orf71	NM_139170	hypothetical protein LOC146562
UNC5CL	NM_173561	unc-5 homolog C-like
SEBOX	NM_001083896/NM_001080837	SEBOX homeobox isoform 2/SEBOX homeobox isoform 1
BTK	NM_000061	Bruton agammaglobulinemia tyrosine kinase
KRCC1	NM_016618	lysine-rich coiled-coil 1
SYTL5	NM_138780	synaptotagmin-like 5
PRND	NM_012409	prion-like protein doppel preproprotein
C6orf27	NM_025258	G7c protein
LOC653319	NM_001040715	hypothetical protein LOC653319
PIGL	NM_004278	phosphatidylinositol glycan anchor biosynthesis,
HUS1	NM_004507	HUS1 checkpoint protein
DNAJC30	NM_032317	DnaJ (Hsp40) homolog subfamily C member 30
SFRS6	NM_006275	arginine/serine-rich splicing factor 6
UIMC1	NM_016290	ubiquitin interaction motif containing 1
C17orf77	NM_152460	hypothetical protein LOC146723
FXYD2	NM_001127489/NM_021603/NM_001680	FXYD domain-containing ion transport regulator 2
ZNF667	NM_022103	zinc finger protein 667
ZCCHC12	NM_173798	zinc finger, CCHC domain containing 12
ATP7B	NM_000053/NM_001005918	ATPase, Cu++ transporting, beta polypeptide
TFEC	NM_001018058/NM_012252	transcription factor EC isoform b/transcription factor EC isoform a
C2orf78	NM_001080474	hypothetical protein LOC388960
ABCC6P1	NR_003569
POLD2	NM_006230/NM_001127218	polymerase (DNA directed), delta 2, regulatory
RG9MTD1	NM_017819	RNA (guanine-9-) methyltransferase domain
ACOT2	NM_006821	peroxisomal long-chain acyl-coA thioesterase
HIST1H4I	NM_003495	histone cluster 1, H4i
PPARGC1A	NM_013261	peroxisome proliferator-activated receptor
ETFA	NM_000126/NM_001127716	electron transfer flavoprotein, alpha
C11orf37	NR_024233
POLRMT	NM_005035	mitochondrial DNA-directed RNA polymerase
ZNF146	NM_007145/NM_001099638/NM_001099639	zinc finger protein 146
MIA2	NM_054024	melanoma inhibitory activity 2
KLHL6	NM_130446	kelch-like 6
NENF	NM_013349	neuron derived neurotrophic factor
HOXB5	NM_002147	homeobox B5
CUGBP1	NM_001025596/NM_198700/NM_006560	CUG triplet repeat, RNA-binding protein 1
ARGFX	NM_001012659	arginine-fifty homeobox
PRSS22	NM_022119	protease, serine, 22
CASC4	NM_177974/NM_138423	cancer susceptibility candidate 4 isoform b/cancer susceptibility candidate 4 isoform a
LOC400752	NR_024270
LOC338799	NR_002809
GTSF1	NM_144594	gametocyte specific factor 1
CUL4B	NM_001079872/NM_003588	cullin 4B isoform 2/cullin 4B isoform 1
CENPJ	NM_018451	centromere protein J
AKIRIN1	NM_024595/NM_001136275	akirin 1 isoform 1/akirin 1 isoform 2
PITX1	NM_002653	paired-like homeodomain transcription factor 1
CELSR3	NM_001407	cadherin EGF LAG seven-pass G-type receptor 3
DNAJC9	NM_015190	DnaJ homolog, subfamily C, member 9
ZNF568	NM_198539	zinc finger protein 568
ITSN1	NM_003024/NM_001001132	intersectin 1 isoform ITSN-l/intersectin 1 isoform ITSN-s
C19orf2	NM_003796/NM_134447	RPB5-mediating protein isoform a/RPB5-mediating protein isoform b
EHBP1L1	NM_001099409	tangerin
LOC653486	NM_001097610	secretoglobin, family 1C, member 1-like
MT1DP	NR_003658
DCTN1	NM_023019/NM_004082/NM_001135040/NM_001135041	dynactin 1 isoform 2/dynactin 1 isoform 1/dynactin 1 isoform 3/dynactin 1 isoform 4
LIN28B	NM_001004317	lin-28 homolog B
TNKS2	NM_025235	tankyrase, TRF1-interacting ankyrin-related
C1QBP	NM_001212	complement component 1, q subcomponent binding
CADPS2	NM_001009571/NM_017954	Ca2+-dependent activator protein for secretion 2
SRMS	NM_080823	src-related kinase lacking C-terminal regulatory
GJA9	NM_030772	gap junction protein, alpha 9, 59kDa
MGC24975	NM_153359/NM_001134316	hypothetical protein LOC163154 isoform 2/hypothetical protein LOC163154 isoform 1
TRIM45	NM_025188	tripartite motif-containing 45
TSP50	NM_013270	testes-specific protease 50
TCP1	NM_001008897/NM_030752	T-complex protein 1 isoform b/T-complex protein 1 isoform a
TMED7	NM_181836	transmembrane emp24 protein transport domain
CMA1	NM_001836	chymase 1, mast cell preproprotein
CENPL	NM_033319/NM_001127181	centromere protein L isoform 2/centromere protein L isoform 1
PTCRA	NM_138296	pre T-cell antigen receptor alpha
FST	NM_006350/NM_013409	follistatin isoform FST317 precursor/follistatin isoform FST344 precursor
VWCE	NM_152718	von Willebrand factor C and EGF domains
PAWR	NM_002583	PRKC, apoptosis, WT1, regulator
TBC1D3B	NM_001001417	TBC1 domain family, member 3B
SNORD91A	NR_003072
ABCC12	NM_033226	ATP-binding cassette protein C12
LDLR	NM_000527	low density lipoprotein receptor precursor
ASTN2	NM_014010/NM_198187/NM_198186/NM_198188	astrotactin 2 isoform a/astrotactin 2 isoform c/astrotactin 2 isoform b/astrotactin 2 isoform d
GPATCH8	NM_001002909	G patch domain containing 8
KIF4A	NM_012310	kinesin family member 4
FAM161A	NM_032180	hypothetical protein LOC84140
TANC2	NM_025185	tetratricopeptide repeat, ankyrin repeat and
PGM1	NM_002633	phosphoglucomutase 1
SNORA11C	NR_003710
CPD	NM_001304	carboxypeptidase D precursor
SNORD116-7	NR_003322
SNCAIP	NM_005460	synuclein alpha interacting protein
DCT	NM_001922/NM_001129889	dopachrome tautomerase (dopachrome
ANXA8	NM_001040084	annexin A8
HLA-DOA	NM_002119	major histocompatibility complex, class II, DO
OR11L1	NM_001001959	olfactory receptor, family 11, subfamily L,
UPK1B	NM_006952	uroplakin 1B
DNAJB4	NM_007034	DnaJ (Hsp40) homolog, subfamily B, member 4
UGT1A8	NM_019076	UDP glycosyltransferase 1 family, polypeptide A8
HIST1H4L	NM_003546	histone cluster 1, H4l
PECR	NM_018441	peroxisomal trans-2-enoyl-CoA reductase
HSPA2	NM_021979	heat shock 70kDa protein 2
WFIKKN1	NM_053284	WAP, follistatin/kazal, immunoglobulin, kunitz
SERP1	NM_014445	stress-associated endoplasmic reticulum protein
SYDE2	NM_032184	synapse defective 1, Rho GTPase, homolog 2
C15orf60	NM_001042367	hypothetical protein LOC283677
C6orf225	NM_001033564	hypothetical protein LOC619208
TACR2	NM_001057	tachykinin receptor 2
SVOPL	NM_174959	SVOP-like
NUP85	NM_024844	nucleoporin 85
SNORA18	NR_002959
CD177	NM_020406	CD177 molecule
PIGG	NM_017733/NM_001127178	phosphatidylinositol glycan anchor biosynthesis,
LGR5	NM_003667	leucine-rich repeat-containing G protein-coupled
PTHR1	NM_000316	parathyroid hormone receptor 1 precursor
LOC126661	NM_001102601	hypothetical protein LOC126661
SCARNA2	NR_003023
RAB5A	NM_004162	RAB5A, member RAS oncogene family
LRRC16B	NM_138360	leucine rich repeat containing 16B
USP9Y	NM_004654	ubiquitin specific protease 9, Y-linked
C7orf53	NM_182597/NM_001134468	hypothetical protein LOC286006
PLEKHM3	NM_001080475	pleckstrin homology domain containing, family M,
LRP1B	NM_018557	low density lipoprotein-related protein 1B
XAF1	NM_017523/NM_199139	XIAP associated factor 1 isoform 1/XIAP associated factor 1 isoform 2
ANKDD1A	NM_182703	ankyrin repeat and death domain containing 1A
ABCG8	NM_022437	ATP-binding cassette sub-family G member 8
DAND5	NM_152654	dante precursor
SPAG6	NM_012443/NM_172242	sperm associated antigen 6 isoform 1/sperm associated antigen 6 isoform 2
LINCR	NM_001080535	hypothetical protein LOC93082
ZDHHC22	NM_174976	zinc finger, DHHC domain containing 22
CCDC60	NM_178499	coiled-coil domain containing 60
THOC7	NM_025075	Ngg1 interacting factor 3 like 1 binding protein
OR8K3	NM_001005202	olfactory receptor, family 8, subfamily K,
TCTA	NM_022171	T-cell leukemia translocation altered
B2M	NM_004048	beta-2-microglobulin precursor
GGTLC2	NM_199127	gamma-glutamyltransferase-like 4 isoform 1
LPPR4	NM_014839	plasticity related gene 1
SQLE	NM_003129	squalene epoxidase
GLIPR2	NM_022343	GLI pathogenesis-related 2
SEPHS1	NM_012247	selenophosphate synthetase 1
PLRG1	NM_002669	pleiotropic regulator 1 (PRL1 homolog,
SPG7	NM_003119/NM_199367	spastic paraplegia 7 isoform 1/spastic paraplegia 7 isoform 2
ZNF614	NM_025040	zinc finger protein 614
PARD6G	NM_032510	PAR-6 gamma protein
INPP5B	NM_005540	inositol polyphosphate-5-phosphatase, 75kDa
GRPEL2	NM_152407	GrpE-like 2, mitochondrial
PPID	NM_005038	peptidylprolyl isomerase D
TRIM56	NM_030961	tripartite motif-containing 56
UBE2J1	NM_016021	ubiquitin-conjugating enzyme E2, J1
IL20RA	NM_014432	interleukin 20 receptor, alpha
C1orf107	NM_014388	digestive-organ expansion factor homolog
SNORA75	NR_002921
UTS2R	NM_018949	urotensin 2 receptor
C19orf22	NM_138774	hypothetical protein LOC91300
SAFB2	NM_014649	scaffold attachment factor B2
DNAJC25	NM_001015882	DnaJ (Hsp40) homolog, subfamily C , member 25
KIAA0652	NM_014741	hypothetical protein LOC9776
KLRG1	NM_005810	killer cell lectin-like receptor subfamily G,
MS4A8B	NM_031457	membrane-spanning 4-domains, subfamily A, member
FRAG1	NM_014489	FGF receptor activating protein 1
E2F4	NM_001950	E2F transcription factor 4
CLEC4M	NM_214678/NM_214679/NM_214675/NM_014257/NM_214676/NM_214677	C-type lectin domain family 4, member M isoform
KIAA0999	NM_025164	KIAA0999 protein
GYPA	NM_002099	glycophorin A precursor
SNORD115-14	NR_003306
TAC1	NM_013996/NM_003182/NM_013997/NM_013998	tachykinin 1 isoform alpha precursor/tachykinin 1 isoform beta precursor/tachykinin 1 isoform gamma precursor/tachykinin 1 isoform delta precursor
TRAIP	NM_005879	TRAF interacting protein
KIAA0232	NM_014743/NM_001100590	hypothetical protein LOC9778
ERCC8	NM_000082	excision repair cross-complementing rodent
