NM_000367	TPMT	thiopurine S-methyltransferase
NM_012287	CENTB2	centaurin, beta 2
NM_006871	RIPK3	receptor-interacting serine-threonine kinase 3
NM_006287	TFPI	tissue factor pathway inhibitor
NM_007106	UBL3	ubiquitin-like 3
NM_014342	MTCH2	mitochondrial carrier homolog 2
NM_012426	SF3B3	splicing factor 3b, subunit 3
NM_014235	UBL4	ubiquitin-like 4
NM_014690	KIAA0773	hypothetical protein LOC9715
NM_014356	C6orf123	chromosome 6 open reading frame 123
NM_014909	KIAA1036	KIAA1036
NM_015229	KIAA0664	hypothetical protein LOC23277
NM_014847	UBAP2L	ubiquitin associated protein 2-like
NM_015076	CDC2L6	cyclin-dependent kinase (CDC2-like) 11
NM_014033	DKFZP586A0522	hypothetical protein LOC25840
NM_014043	CHMP2B	chromatin modifying protein 2B
NM_015629	PRPF31	pre-mRNA processing factor 31 homolog
NM_014058	TMPRSS11E	transmembrane protease, serine 11E
NM_014166	MED4	mediator of RNA polymerase II transcription,
NM_016484	PDZK11	PDZ domain containing 11
NM_016023	CGI-77	hypothetical protein LOC51633
NM_017447	C21orf91	hypothetical protein LOC54149
NM_018984	SSH1	slingshot homolog 1
NM_018990	CXorf9	SH3 protein expressed in lymphocytes
NM_019001	XRN1	5'-3' exoribonuclease 1
NM_019086	FLJ20674	hypothetical protein LOC54621
NM_018374	FLJ11273	hypothetical protein LOC54664
NM_018066	FLJ10349	hypothetical protein LOC54707
NM_017628	FLJ20032	hypothetical protein LOC54790
NM_017728	FLJ20255	hypothetical protein LOC54868
NM_017766	CASZ1	castor homolog 1, zinc finger
NM_017770	ELOVL2	elongation of very long chain fatty acids
NM_017833	C21orf55	hypothetical protein LOC54943
NM_017863	CXorf48	hypothetical protein LOC54967
NM_017891	C1orf159	hypothetical protein LOC54991
NM_017986	GPR172B	G protein-coupled receptor 172B
NM_018195	FLJ10726	hypothetical protein LOC55216
NM_018342	FLJ11155	hypothetical protein LOC55314
NM_018362	LIN7C	lin-7 homolog C
NM_018509	PRO1855	hypothetical protein LOC55379
NM_018841	GNG12	G-protein gamma-12 subunit
NM_018375	SLC39A9	solute carrier family 39 (zinc transporter),
NM_018186	C1orf112	hypothetical protein LOC55732
NM_020448	DJ462O23.2	hypothetical protein LOC57185
NM_021156	DJ971N18.2	hypothetical protein LOC56255
NM_021210	TRAPPC1	trafficking protein particle complex 1
NM_021828	HPSE2	heparanase 2
NM_022091	DJ467N11.1	dJ467N11.1  protein
NM_023076	C16orf28	hypothetical protein LOC65259
NM_024085	APG9L1	APG9 autophagy 9-like 1
NM_024295	DERL1	Der1-like domain family, member 1
NM_024590	ARSJ	arylsulfatase J
NM_024774	FLJ21924	hypothetical protein LOC79832
NM_024815	NUDT18	hypothetical protein LOC79873
NM_024825	FLJ23447	hypothetical protein LOC79883
NM_024841	FLJ14213	hypothetical protein LOC79899
NM_025194	ITPKC	inositol 1,4,5-trisphosphate 3-kinase C
NM_030791	SGPP1	sphingosine-1-phosphatase
NM_030814	C9orf45	hypothetical protein LOC81571
NM_031453	C10orf45	hypothetical protein LOC83641
NM_032300	MGC10854	hypothetical protein LOC84260
NM_032356	MGC14151	hypothetical protein MGC14151
NM_032499	HH114	hypothetical protein LOC84529
NM_032510	PARD6G	PAR-6 gamma protein
NM_032783	CBR4	carbonic reductase 4
NM_032861	SERAC1	serine active site containing 1
NM_032933	C18orf45	hypothetical protein LOC85019
NM_033111	LOC88523	hypothetical protein LOC88523
NM_033547	MGC16733	hypothetical protein LOC92105
NM_032812	PLXDC2	plexin domain containing 2 precursor
NM_054030	MRGPRX2	G protein-coupled receptor MRGX2
NM_130830	LRRC15	leucine rich repeat containing 15
NM_024881	SLC35E1	solute carrier family 35, member E1
NM_138444	KCTD12	potassium channel tetramerisation domain
NM_002483	CEACAM6	carcinoembryonic antigen-related cell adhesion
NM_138396	MARCH9	membrane-associated RING-CH protein IX
NM_022756	C1orf149	hypothetical protein LOC64769
NM_024627	FLJ21125	hypothetical protein LOC79680
NM_003821	RIPK2	receptor-interacting serine-threonine kinase 2
NM_024081	PRRG4	proline rich Gla (G-carboxyglutamic acid) 4
NM_138771	LOC90693	hypothetical protein LOC90693
NM_021639	SP192	hypothetical protein LOC60313
NM_138731	MIPOL1	mirror-image polydactyly 1
NM_004433	ELF3	E74-like factor 3 (ets domain transcription
NM_022900	CAS1	O-acetyltransferase
NM_018227	FLJ10808	hypothetical protein LOC55236
NM_006827	TMP21	transmembrane trafficking protein
NM_018036	C14orf103	hypothetical protein LOC55102
NM_024927	FLJ21019	hypothetical protein LOC79990
NM_032174	FLJ12770	hypothetical protein LOC84134
NM_024726	IQCA	IQ motif containing with AAA domain
NM_032717	MGC11324	hypothetical protein LOC84803
NM_024949	BOMB	hypothetical protein LOC80014
NM_144586	LYPDC1	LY6/PLAUR domain containing 1
NM_144607	FLJ32499	hypothetical protein LOC124637
NM_144611	MGC32124	hypothetical protein LOC124936
NM_144625	WDR64	hypothetical protein LOC128025
NM_144632	FLJ30294	hypothetical protein LOC130827
NM_144682	FLJ31952	hypothetical protein LOC146857
NM_144711	KLHL23	kelch-like 23
NM_144717	FNDC6	fibronectin type III domain containing 6
NM_144718	LOC152185	hypothetical protein LOC152185
NM_144719	CCDC13	coiled-coil domain containing 13
NM_144725	FLJ25439	hypothetical protein LOC153657
NM_144967	FLJ30058	hypothetical protein LOC158763
NM_145035	ADMP	ADMP
NM_145053	MGC20470	hypothetical protein LOC143630
NM_145201	PP3856	similar to CG3714 gene product
NM_145284	LOC159090	hypothetical protein LOC159090
NM_152264	SLC39A13	solute carrier family 39 (zinc transporter),
NM_152363	ANKRD41	ankyrin repeat domain 41
NM_152372	MYOM3	myomesin family, member 3
NM_153013	FLJ30596	hypothetical protein LOC133686
NM_152409	FLJ37562	hypothetical protein LOC134553
NM_153029	N4BP1	Nedd4 binding protein 1
NM_152587	MGC33948	hypothetical protein LOC160140
NM_152608	C1orf55	hypothetical protein LOC163859
NM_152622	FLJ35954	hypothetical protein LOC166968
NM_152689	MGC9712	hypothetical protein LOC202915
NM_152750	FLJ23834	hypothetical protein LOC222256
NM_152759	LRRC43	hypothetical protein LOC254050
NM_018371	ChGn	chondroitin beta1,4
NM_024581	C6orf60	hypothetical protein LOC79632
NM_153331	KCTD6	potassium channel tetramerisation domain
NM_153264	FLJ35880	hypothetical protein LOC256076
NM_022754	SFXN1	sideroflexin 1
NM_153611	CYBASC3	cytochrome b, ascorbate dependent 3
NM_018344	SLC29A3	solute carrier family 29 (nucleoside
NM_172070	ZNF650	zinc finger protein 650
NM_173362	LOC317671	hypothetical protein LOC317671
NM_173476	FLJ34512	hypothetical protein LOC124093
NM_173485	C20orf17	serologically defined colon cancer antigen 33
NM_173506	MGC42718	hypothetical protein LOC147719
NM_173518	FLJ25692	hypothetical protein LOC157777
NM_173529	C18orf54	hypothetical protein LOC162681
NM_173533	TDRD5	tudor domain containing 5
NM_173556	MGC34732	hypothetical protein LOC220047
NM_173562	C6orf69	hypothetical protein LOC222658
NM_173812	FLJ32949	hypothetical protein LOC283417
NM_173815	FLJ37464	hypothetical protein LOC283848
NM_173632	FLJ38288	hypothetical protein LOC284309
NM_173848	LOC138046	hypothetical protein LOC138046
NM_173854	SLC41A1	solute carrier family 41 member 1
NM_174911	NSE2	breast cancer membrane protein 101
NM_031477	YPEL3	yippee-like 3
NM_175892	FLJ37266	hypothetical protein LOC283225
NM_175908	LOC284296	hypothetical protein LOC284296
NM_176880	TRA16	TR4 orphan receptor associated protein TRA16
NM_177964	LOC130576	hypothetical protein LOC130576
NM_024993	LRRTM4	leucine rich repeat transmembrane neuronal 4
NM_178493	LOC147111	hypothetical protein LOC147111
NM_178565	MGC35555	hypothetical protein LOC340419
NM_178452	LRRC50	leucine rich repeat containing 50
NM_178839	LRRTM1	leucine rich repeat transmembrane neuronal 1
NM_178504	FLJ40427	hypothetical protein LOC201625
NM_022757	CCDC14	coiled-coil domain containing 14
NM_032121	DKFZp564K142	implantation-associated protein
NM_022034	CUZD1	CUB and zona pellucida-like domains 1
NM_024686	FLJ23033	hypothetical protein LOC79739
NM_012482	ZNF281	zinc finger protein 281
NM_001399	EDA	ectodysplasin A isoform EDA-A1
NM_018045	FLJ10276	hypothetical protein LOC55108
NM_000454	SOD1	superoxide dismutase 1, soluble
NM_014736	KIAA0101	hypothetical protein LOC9768
NM_005458	GPR51	G protein-coupled receptor 51
NM_024580	EFTUD1	elongation factor Tu GTP binding domain
NM_032806	AGO61	glycosyltransferase
NM_144635	MGC21688	hypothetical protein LOC131408
NM_024917	CXorf34	hypothetical protein LOC79979
NM_181709	LOC144347	hypothetical protein LOC144347
NM_017933	FLJ20701	hypothetical protein LOC55022
NM_030799	YIPF5	smooth muscle cell associated protein 5
NM_181836	TMED7	transmembrane emp24 protein transport domain
NM_182511	CBLN2	cerebellin 2 precursor
NM_182608	ANKRD33	ankyrin repeat domain 33
NM_198545	LOC374946	hypothetical gene supported by AK075558;
NM_031466	T1	IKK2 binding protein
NM_002114	HIVEP1	human immunodeficiency virus type I enhancer
NM_002908	REL	v-rel reticuloendotheliosis viral oncogene
NM_002306	LGALS3	galectin-3
NM_018157	hSyn	brain synembryn
NM_017548	H41	hypothetical protein H41
NM_018945	PDE7B	phosphodiesterase 7B
NM_003101	SOAT1	sterol O-acyltransferase (acyl-Coenzyme A:
NM_016936	UBN1	ubinuclein 1
NM_017569	FAM48A	family with sequence similarity 48, member A
NM_000334	SCN4A	sodium channel, voltage-gated, type IV, alpha
NM_000727	CACNG1	voltage-dependent calcium channel gamma-1
NM_000729	CCK	cholecystokinin preproprotein
NM_005530	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha
NM_005535	IL12RB1	interleukin 12 receptor, beta 1 isoform 1
NM_005830	MRPS31	mitochondrial ribosomal protein S31
NM_005799	INADL	InaD-like protein isoform 3
NM_005538	INHBC	inhibin beta C chain preproprotein
NM_181501	ITGA1	integrin, alpha 1 precursor
NM_005548	KARS	lysyl-tRNA synthetase
NM_005886	KATNB1	katanin p80 subunit B 1
NM_005549	KCNA10	potassium voltage-gated channel, shaker-related
NM_005714	KCNK7	potassium channel, subfamily K, member 7 isoform
NM_000246	MHC2TA	MHC class II transactivator
NM_001212	C1QBP	complement component 1, q subcomponent binding
NM_006983	MMP23B	matrix metalloproteinase 23B
NM_007052	NOX1	NADPH oxidase 1 isoform long
NM_006980	MTERF	mitochondrial transcription termination factor
NM_006993	NPM3	nucleophosmin/nucleoplasmin 3
NM_006903	PPA2	inorganic pyrophosphatase 2 isoform 2
NM_007039	PTPN21	protein tyrosine phosphatase, non-receptor type
NM_007050	PTPRT	protein tyrosine phosphatase, receptor type, T
NM_006907	PYCR1	pyrroline-5-carboxylate reductase 1 isoform 1
NM_007081	RABL2B	RAB, member of RAS oncogene family-like 2B
NM_006915	RP2	XRP2 protein
NM_006918	SC5DL	sterol-C5-desaturase-like
NM_030673	SEC13L1	SEC13-like 1 isoform a
NM_006927	ST3GAL2	sialyltransferase 4B
NM_000244	MEN1	menin isoform 1
NM_145740	GSTA1	glutathione S-transferase A1
NM_002230	JUP	junction plakoglobin
NM_002233	KCNA4	potassium voltage-gated channel, shaker-related
NM_002234	KCNA5	potassium voltage-gated channel, shaker-related
NM_002235	KCNA6	potassium voltage-gated channel, shaker-related
NM_002274	KRT13	keratin 13 isoform b
NM_002275	KRT15	keratin 15
NM_002272	KRT4	keratin 4
NM_002286	LAG3	lymphocyte-activation protein 3 precursor
NM_002290	LAMA4	laminin, alpha 4 precursor
NM_002291	LAMB1	laminin, beta 1 precursor
NM_002293	LAMC1	laminin, gamma 1 precursor
NM_000430	PAFAH1B1	platelet-activating factor acetylhydrolase,
NM_000243	MEFV	Mediterranean fever protein
NM_007006	NUDT21	cleavage and polyadenylation specific factor 5
NM_006891	CRYGD	crystallin, gamma D
NM_006981	NR4A3	nuclear receptor subfamily 4, group A, member 3
NM_007036	ESM1	endothelial cell-specific molecule 1 precursor
NM_007070	GLMN	glomulin isoform FAP48
NM_007002	ADRM1	adhesion regulating molecule 1 precursor
NM_006897	HOXC9	homeo box C9
NM_007032	HRIHFB2122	Tara-like protein isoform 1
NM_007031	HSF2BP	heat shock transcription factor 2 binding
NM_007003	PAGE4	G antigen, family C, 1
NM_007044	KATNA1	katanin p60 subunit A 1
NM_007068	DMC1	DMC1 dosage suppressor of mck1 homolog
NM_000242	MBL2	soluble mannose-binding lectin precursor
NM_000529	MC2R	melanocortin 2 receptor
NM_000848	GSTM2	glutathione S-transferase M2
NM_002198	IRF1	interferon regulatory factor 1
NM_002199	IRF2	interferon regulatory factor 2
NM_002202	ISL1	islet-1
NM_002203	ITGA2	integrin alpha 2 precursor
NM_002205	ITGA5	integrin alpha 5 precursor
NM_002206	ITGA7	integrin alpha 7 precursor
NM_002208	ITGAE	integrin, alpha E (antigen CD103, human mucosal
NM_002209	ITGAL	integrin alpha L precursor
NM_002211	ITGB1	integrin beta 1 isoform 1A precursor
NM_002220	ITPKA	1D-myo-inositol-trisphosphate 3-kinase A
NM_002225	IVD	isovaleryl Coenzyme A dehydrogenase
NM_002227	JAK1	janus kinase 1
NM_000240	MAOA	monoamine oxidase A
NM_000429	MAT1A	methionine adenosyltransferase I, alpha
NM_000851	GSTM5	glutathione S-transferase M5
NM_002168	IDH2	isocitrate dehydrogenase 2 (NADP+),
NM_002187	IL12B	interleukin 12B precursor
NM_002189	IL15RA	interleukin 15 receptor, alpha isoform 1
NM_002190	IL17	interleukin 17 precursor
NM_002182	IL1RAP	interleukin 1 receptor accessory protein isoform
NM_002184	IL6ST	interleukin 6 signal transducer isoform 1
NM_002185	IL7R	interleukin 7 receptor precursor
NM_002191	INHA	inhibin alpha subunit precursor
NM_002192	INHBA	inhibin beta A precursor
NM_002193	INHBB	inhibin beta B subunit precursor
NM_002194	INPP1	inositol polyphosphate-1-phosphatase
NM_002195	INSL4	insulin-like 4 precursor
NM_000239	LYZ	lysozyme precursor
NM_000852	GSTP1	glutathione transferase
NM_002136	HNRPA1	heterogeneous nuclear ribonucleoprotein A1
NM_002137	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1
NM_002139	RBMX	RNA binding motif protein, X-linked
NM_002140	HNRPK	heterogeneous nuclear ribonucleoprotein K
NM_002141	HOXA4	homeobox protein A4
NM_002144	HOXB1	homeo box B1
NM_002145	HOXB2	homeo box B2
NM_002148	HOXD10	homeo box D10
NM_002152	HRC	histidine-rich calcium-binding protein
NM_002161	IARS	isoleucine-tRNA synthetase
NM_002162	ICAM3	intercellular adhesion molecule 3 precursor
NM_002163	IRF8	interferon regulatory factor 8
NM_002165	ID1	inhibitor of DNA binding 1 isoform a
NM_000237	LPL	lipoprotein lipase precursor
NM_000238	KCNH2	voltage-gated potassium channel, subfamily H,
NM_000853	GSTT1	glutathione S-transferase theta 1
NM_001004471	OR10Q1	olfactory receptor, family 10, subfamily Q,
NM_014321	ORC6L	origin recognition complex subunit 6
NM_014326	DAPK2	death-associated protein kinase 2
NM_013276	CARKL	carbohydrate kinase-like
NM_014336	AIPL1	aryl hydrocarbon receptor interacting
NM_014337	PPIL2	peptidylprolyl isomerase-like 2 isoform a
NM_014344	FJX1	four jointed box 1
NM_014357	LCE2B	late cornified envelope 2B
NM_014358	CLEC4E	C-type lectin, superfamily member 9
NM_014361	CNTN5	contactin 5 isoform long
NM_014369	PTPN18	protein tyrosine phosphatase, non-receptor type
NM_000236	LIPC	lipase C precursor
NM_000427	LOR	loricrin
NM_000854	GSTT2	glutathione S-transferase theta 2
NM_002100	GYPB	glycophorin B precursor
NM_002101	GYPC	glycophorin C isoform 1
NM_002104	GZMK	granzyme K precursor
NM_002105	H2AFX	H2A histone family, member X
NM_002106	H2AFZ	H2A histone family, member Z
NM_002107	H3F3A	H3 histone, family 3A
NM_002108	HAL	histidine ammonia-lyase
NM_002115	HK3	hexokinase 3
NM_002120	HLA-DOB	major histocompatibility complex, class II, DO
NM_002124	HLA-DRB1	major histocompatibility complex, class II, DR
NM_002129	HMGB2	high-mobility group box 2
NM_002133	HMOX1	heme oxygenase (decyclizing) 1
NM_000234	LIG1	DNA ligase I
NM_000235	LIPA	lipase A precursor
NM_000859	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
NM_002075	GNB3	guanine nucleotide-binding protein, beta-3
NM_002079	GOT1	aspartate aminotransferase 1
NM_002080	GOT2	aspartate aminotransferase 2 precursor
NM_002081	GPC1	glypican 1 precursor
NM_002083	GPX2	gastrointestinal glutathione peroxidase 2
NM_002084	GPX3	plasma glutathione peroxidase 3 precursor
NM_002085	GPX4	glutathione peroxidase 4
NM_002099	GYPA	glycophorin A precursor
NM_005821	NBR2	hypothetical protein LOC10230
NM_005796	NUTF2	nuclear transport factor 2
NM_005865	PRSS16	protease, serine, 16
NM_000231	SGCG	gamma sarcoglycan
NM_000233	LHCGR	luteinizing hormone/choriogonadotropin receptor
NM_000861	HRH1	histamine receptor H1
NM_002042	GABRR1	gamma-aminobutyric acid (GABA) receptor, rho 1
NM_002043	GABRR2	gamma-aminobutyric acid (GABA) receptor, rho 2
NM_002044	GALK2	galactokinase 2 isoform 1
NM_002045	GAP43	growth associated protein 43
NM_002048	GAS1	growth arrest-specific 1
NM_002049	GATA1	GATA binding protein 1
NM_002052	GATA4	GATA binding protein 4
NM_002053	GBP1	guanylate binding protein 1,
NM_002055	GFAP	glial fibrillary acidic protein
NM_002056	GFPT1	glucosamine-fructose-6-phosphate
NM_002059	GH2	growth hormone 2 isoform 1
NM_002060	GJA4	connexin 37
NM_002061	GCLM	glutamate-cysteine ligase regulatory protein
NM_000527	LDLR	low density lipoprotein receptor precursor
NM_000230	LEP	leptin precursor
NM_022304	HRH2	histamine receptor H2
NM_002007	FGF4	fibroblast growth factor 4 precursor
NM_002009	FGF7	fibroblast growth factor 7 precursor
NM_002010	FGF9	fibroblast growth factor 9 precursor
NM_002012	FHIT	fragile histidine triad gene
NM_002021	FMO1	flavin containing monooxygenase 1
NM_002022	FMO4	flavin containing monooxygenase 4
NM_002023	FMOD	fibromodulin precursor
NM_002031	FRK	fyn-related kinase
NM_002035	FVT1	follicular lymphoma variant translocation 1
NM_002037	FYN	protein-tyrosine kinase fyn isoform a
NM_002040	GABPA	GA binding protein transcription factor, alpha
NM_002047	GARS	glycyl-tRNA synthetase
NM_000228	LAMB3	laminin subunit beta 3 precursor
NM_000229	LCAT	lecithin-cholesterol acyltransferase precursor
NM_001994	F13B	coagulation factor XIII B subunit precursor
NM_001992	F2R	coagulation factor II receptor precursor
NM_001993	F3	coagulation factor III precursor
NM_001998	FBLN2	fibulin 2 precursor, isoform b
NM_001999	FBN2	fibrillin 2 precursor
