MYO9B	NM_001130065	myosin IXB isoform 2
PRKD2	NM_001079881	protein kinase D2 isoform A
C10orf28	NM_014472	growth inhibition and differentiation related
OCIAD1	NM_017830	OCIA domain containing 1 isoform 1
LRRC18	NM_001006939	leucine rich repeat containing 18
ANP32E	NM_030920	acidic (leucine-rich) nuclear phosphoprotein 32
RBP2	NM_004164	retinol binding protein 2, cellular
ZNF623	NM_014789	zinc finger protein 623 isoform 1
IFNA10	NM_002171	interferon, alpha 10
SYPL2	NM_001040709	mitsugumin 29
POPDC2	NM_022135	popeye protein 2
PAX3	NM_181457	paired box 3 isoform PAX3
LIMS1	NM_004987	LIM and senescent cell antigen-like domains 1
RHCE	NM_138617	Rhesus blood group, CcEe antigens isoform 4
LMAN2	NM_006816	lectin, mannose-binding 2
TBX22	NM_001109878	T-box 22 isoform 1
IQGAP1	NM_003870	IQ motif containing GTPase activating protein 1
TTC3	NM_001001894	tetratricopeptide repeat domain 3
SLC22A18	NM_183233	tumor suppressing subtransferable candidate 5
ACOT1	NM_001037161	acyl-CoA thioesterase 1
RFX4	NM_032491	regulatory factor X4 isoform a
PTCH2	NM_003738	patched 2
PRB1	NM_199354	proline-rich protein BstNI subfamily 1 isoform 3
FTMT	NM_177478	mitochondrial ferritin
C21orf59	NM_021254	hypothetical protein LOC56683
ZNF560	NM_152476	zinc finger protein 560
CNOT4	NM_013316	CCR4-NOT transcription complex, subunit 4
HMGCL	NM_000191	3-hydroxymethyl-3-methylglutaryl-Coenzyme A
PRPF18	NM_003675	PRP18 pre-mRNA processing factor 18 homolog
COL4A3BP	NM_005713	alpha 3 type IV collagen binding protein isoform
DEFB136	NM_001033017	beta-defensin 136
SASH1	NM_015278	SAM and SH3 domain containing 1
RTDR1	NM_014433	rhabdoid tumor deletion region protein 1
TALDO1	NM_006755	transaldolase 1
HMBOX1	NM_024567	homeobox containing 1
KCTD4	NM_198404	potassium channel tetramerisation domain
SOD1	NM_000454	superoxide dismutase 1, soluble
GLTPD1	NM_001029885	glycolipid transfer protein domain containing 1
ARRB1	NM_020251	arrestin beta 1 isoform B
MLXIPL	NM_032952	Williams Beuren syndrome chromosome region 14
VKORC1L1	NM_173517	vitamin K epoxide reductase complex, subunit
PCDHA12	NM_031864	protocadherin alpha 12 isoform 2 precursor
GIYD2	NM_024044	GIY-YIG domain containing 2 isoform 1
NDUFA2	NM_002488	NADH dehydrogenase (ubiquinone) 1 alpha
ATP10D	NM_020453	ATPase, class V, type 10D
CRB3	NM_174881	crumbs 3 isoform b precursor
C4orf37	NM_174952	hypothetical protein LOC285555
CMTM1	NM_052999	chemokine-like factor superfamily 1 isoform 13
ALAD	NM_000031	delta-aminolevulinic acid dehydratase
CACNA1G	NM_198385	voltage-dependent calcium channel alpha 1G
PSMA4	NM_002789	proteasome alpha 4 subunit isoform 1
GK	NM_000167	glycerol kinase isoform b
TMEM217	NM_145316	transmembrane protein 217
CACNG8	NM_031895	voltage-dependent calcium channel gamma-8
PLEKHF1	NM_024310	apoptosis-inducing protein D
C2orf43	NM_021925	hypothetical protein LOC60526
NPY2R	NM_000910	neuropeptide Y receptor Y2
PARL	NM_001037639	presenilin associated, rhomboid-like isoform 2
SERPING1	NM_000062	complement component 1 inhibitor precursor
MYH14	NM_001077186	myosin, heavy chain 14 isoform 1
PRDM12	NM_021619	PR domain containing 12
ATF7IP2	NM_024997	activating transcription factor 7 interacting
C3orf33	NM_173657	hypothetical protein LOC285315
TRHDE	NM_013381	thyrotropin-releasing hormone degrading enzyme
FAM53B	NM_014661	hypothetical protein LOC9679
C3orf17	NM_001025072	hypothetical protein LOC25871 isoform b
SF3A1	NM_001005409	splicing factor 3a, subunit 1, 120kDa isoform 2
PLEKHG5	NM_001042664	pleckstrin homology domain containing family G
KRTAP10-5	NM_198694	keratin associated protein 10-5
CYLC1	NM_021118	cylicin, basic protein of sperm head
ASB2	NM_016150	ankyrin repeat and SOCS box-containing protein
SEC22C	NM_004206	SEC22 vesicle trafficking protein homolog C
CKB	NM_001823	brain creatine kinase
THAP3	NM_138350	THAP domain containing, apoptosis associated
FGD3	NM_001083536	FYVE, RhoGEF and PH domain containing 3
ZBTB40	NM_014870	zinc finger and BTB domain containing 40
PKMYT1	NM_182687	protein kinase Myt1 isoform 2
RNGTT	NM_003800	RNA guanylyltransferase and 5'-phosphatase
DDX24	NM_020414	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
UHRF1BP1	NM_017754	ICBP90 binding protein 1
C20orf10	NM_014477	TP53-target gene 5 protein
HIST1H2BH	NM_003524	histone cluster 1, H2bh
ICEBERG	NM_021571	ICEBERG caspase-1 inhibitor
ABR	NM_021962	active breakpoint cluster region-related
ZNF583	NM_152478	zinc finger protein 583
CD1E	NM_001042583	CD1E antigen isoform b precursor
MLPH	NM_024101	melanophilin isoform 1
ITM2C	NM_030926	integral membrane protein 2C isoform 1
APOA5	NM_052968	apolipoprotein AV
MRGPRX2	NM_054030	MAS-related GPR, member X2
CYP3A43	NM_057096	cytochrome P450, family 3, subfamily A,
TAPT1	NM_153365	transmembrane anterior posterior transformation
CLEC14A	NM_175060	C-type lectin domain family 14, member A
CBX4	NM_003655	chromobox homolog 4
PSMG1	NM_003720	Down syndrome critical region protein 2 isoform
PRAMEF9	NM_001010890	PRAME family member 9
RGPD1	NM_001024457	RANBP2-like and GRIP domain containing 1
KIAA1429	NM_015496	hypothetical protein LOC25962 isoform 1
ABL2	NM_005158	v-abl Abelson murine leukemia viral oncogene
LYPD4	NM_173506	LY6/PLAUR domain containing 4
VPS26A	NM_001035260	vacuolar protein sorting 26 A isoform 2
ADAM20	NM_003814	ADAM metallopeptidase domain 20 preproprotein
C2orf69	NM_153689	hypothetical protein LOC205327
TAF7L	NM_024885	TATA box binding protein-associated factor, RNA
TMPRSS11D	NM_004262	transmembrane protease, serine 11D
ULK2	NM_014683	unc-51-like kinase 2
RNF25	NM_022453	ring finger protein 25
LOC120126	NM_001101321	hypothetical protein LOC120126
IQCJ	NM_001042705	IQ motif containing J isoform CaMBPv1
AOF2	NM_015013	amine oxidase (flavin containing) domain 2
C14orf138	NM_024558	hypothetical protein LOC79609 isoform a
RIMS3	NM_014747	regulating synaptic membrane exocytosis 3
NCOR2	NM_006312	nuclear receptor co-repressor 2 isoform 1
PLA2G2C	NM_001105572	phospholipase A2, group IIC
APOA2	NM_001643	apolipoprotein A-II preproprotein
MSH5	NM_172166	mutS homolog 5 isoform c
CECR1	NM_017424	cat eye syndrome critical region protein 1
RNF12	NM_183353	ring finger protein 12
PCLO	NM_033026	piccolo isoform 1
SUPT5H	NM_001111020	suppressor of Ty 5 homolog
ZNF675	NM_138330	zinc finger protein 675
HNRPLL	NM_138394	heterogeneous nuclear ribonucleoprotein L-like
ARMCX6	NM_019007	armadillo repeat containing, X-linked 6
CALD1	NM_033157	caldesmon 1 isoform 3
SAFB	NM_002967	scaffold attachment factor B
NSMCE2	NM_173685	non-SMC element 2, MMS21 homolog
KIAA1024	NM_015206	hypothetical protein LOC23251
RHOD	NM_014578	ras homolog D
LPAR3	NM_012152	lysophosphatidic acid receptor 3
NR4A2	NM_006186	nuclear receptor subfamily 4, group A, member 2
UBAP2L	NM_014847	ubiquitin associated protein 2-like isoform a
BIRC5	NM_001012271	baculoviral IAP repeat-containing protein 5
SYCE2	NM_001105578	synaptonemal complex central element protein 2
TFG	NM_006070	TRK-fused
SGOL1	NM_001012412	shugoshin-like 1 isoform B2
TCF7	NM_201634	transcription factor 7 (T-cell specific,
GPR37	NM_005302	G protein-coupled receptor 37
ZNF124	NM_003431	zinc finger protein 124
ATP5S	NM_015684	ATP synthase, H+ transporting, mitochondrial F0
FLJ44635	NM_207422	hypothetical protein LOC392490
HOXA1	NM_153620	homeobox A1 isoform b
C22orf28	NM_014306	hypothetical protein LOC51493
NBEAL1	NM_001099273	neurobeachin-like 1 isoform 1
TWF1	NM_002822	twinfilin 1
KPNA1	NM_002264	karyopherin alpha 1
NRG1	NM_013962	neuregulin 1 isoform GGF2
SEC31A	NM_001077208	SEC31 homolog A isoform 3
CCDC75	NM_174931	coiled-coil domain containing 75
AURKA	NM_198436	serine/threonine protein kinase 6
MUC4	NM_004532	mucin 4 isoform d
PRNP	NM_000311	prion protein preproprotein
PRLR	NM_000949	prolactin receptor
HOXD10	NM_002148	homeobox D10
ZNF498	NM_145115	zinc finger and SCAN domain containing 25
PANK3	NM_024594	pantothenate kinase 3
WDFY1	NM_020830	WD repeat and FYVE domain containing 1
CSNK1G3	NM_001044723	casein kinase 1, gamma 3 isoform 4
FGF13	NM_004114	fibroblast growth factor 13 isoform 1A
THAP5	NM_182529	THAP domain containing 5 isoform 2
VPS52	NM_022553	vacuolar protein sorting 52
C5orf51	NM_175921	hypothetical protein LOC285636
FOLR3	NM_000804	folate receptor 3 precursor
LOXL3	NM_032603	lysyl oxidase-like 3 precursor
CYP2A13	NM_000766	cytochrome P450, family 2, subfamily A,
OR4K17	NM_001004715	olfactory receptor, family 4, subfamily K,
C19orf29	NM_021231	chromosome 19 open reading frame 29
LCP2	NM_005565	lymphocyte cytosolic protein 2
ZNF175	NM_007147	zinc finger protein 175
NUP210L	NM_207308	nucleoporin 210kDa-like
HTR6	NM_000871	5-hydroxytryptamine (serotonin) receptor 6
PSORS1C2	NM_014069	SPR1 protein
IL12RB1	NM_005535	interleukin 12 receptor, beta 1 isoform 1
PRKAA2	NM_006252	AMP-activated protein kinase alpha 2 catalytic
CASP8	NM_001080125	caspase 8 isoform G precursor
KLF14	NM_138693	Kruppel-like factor 14
ZNF75A	NM_153028	zinc finger protein 75a
EIF5A	NM_001970	eukaryotic translation initiation factor 5A
NRSN1	NM_080723	neurensin 1
CUL4B	NM_001079872	cullin 4B isoform 2
SNX11	NM_013323	sorting nexin 11
PRHOXNB	NM_001105577	parahox cluster neighbor
AGTRAP	NM_001040197	angiotensin II receptor-associated protein
REG3A	NM_138937	pancreatitis-associated protein precursor
TACC3	NM_006342	transforming, acidic coiled-coil containing
PGBD3	NM_170753	hypothetical protein LOC267004
TNP2	NM_005425	transition protein 2 (during histone to
SMPD1	NM_000543	sphingomyelin phosphodiesterase 1, acid
CENPJ	NM_018451	centromere protein J
NUMB	NM_003744	numb homolog isoform 3
TXNRD2	NM_006440	thioredoxin reductase 2 precursor
C2orf42	NM_017880	hypothetical protein LOC54980
SGSM1	NM_001039948	RUN and TBC1 domain containing 2 isoform 1
VCAM1	NM_001078	vascular cell adhesion molecule 1 isoform a
CLCC1	NM_001048210	Mid-1-related chloride channel 1 isoform 1
A26C1B	NM_001099771	prostate, ovary, testis expressed protein on
OR6C76	NM_001005183	olfactory receptor, family 6, subfamily C,
IARS	NM_002161	isoleucyl-tRNA synthetase
OPCML	NM_001012393	opioid binding protein/cell adhesion
PKD2L1	NM_016112	polycystic kidney disease 2-like 1
PAQR5	NM_001104554	progestin and adipoQ receptor family member V
PRNP	NM_001080121	prion protein preproprotein
GPR88	NM_022049	G-protein coupled receptor 88
C3orf43	NM_001077657	hypothetical protein LOC255798
C10orf132	NM_001010917	hypothetical protein LOC401647
LOC390594	NM_001101362	hypothetical protein LOC390594
IQCJ	NM_001042706	IQ motif containing J isoform CaMBPv2
CXCL1	NM_001511	chemokine (C-X-C motif) ligand 1
PUS7L	NM_001098615	pseudouridylate synthase 7 homolog (S.
KIAA0513	NM_014732	hypothetical protein LOC9764
SUMO1	NM_001005782	SMT3 suppressor of mif two 3 homolog 1 isoform b
FAM9A	NM_174951	family with sequence similarity 9, member A
TNRC6A	NM_014494	trinucleotide repeat containing 6A
NDUFV1	NM_007103	NADH dehydrogenase (ubiquinone) flavoprotein 1,
ZNF180	NM_013256	zinc finger protein 180
ZNF32	NM_006973	zinc finger protein 32
ANXA6	NM_001155	annexin VI isoform 1
HIF1A	NM_001530	hypoxia-inducible factor 1, alpha subunit
DMD	NM_004019	dystrophin Dp40 isoform
GFI1	NM_005263	growth factor independent 1
LAT2	NM_014146	linker for activation of T cells family member
ITGA3	NM_005501	integrin alpha 3 isoform b, precursor
CCT3	NM_005998	chaperonin containing TCP1, subunit 3 isoform a
RBM7	NM_016090	RNA binding motif protein 7
ASB1	NM_001040445	ankyrin repeat and SOCS box-containing protein
WIZ	NM_021241	widely-interspaced zinc finger motifs
KRTAP4-3	NM_033187	keratin associated protein 4-3
DMPK	NM_001081563	myotonic dystrophy protein kinase isoform 1
DMGDH	NM_013391	dimethylglycine dehydrogenase precursor
TCF12	NM_207037	transcription factor 12 isoform a
ELL3	NM_025165	elongation factor RNA polymerase II-like 3
MARCH2	NM_001005415	membrane-associated ring finger (C3HC4) 2
SMARCD3	NM_003078	SWI/SNF related, matrix associated, actin
LOC201229	NM_001076680	hypothetical protein LOC201229
SLC8A3	NM_033262	solute carrier family 8 member 3 isoform A
YPEL4	NM_145008	yippee-like 4
MAGEA4	NM_001011549	melanoma antigen family A, 4
PPM2C	NM_018444	pyruvate dehydrogenase phosphatase precursor
PPIG	NM_004792	peptidyl-prolyl isomerase G (cyclophilin G)
ORC3L	NM_181837	origin recognition complex, subunit 3 isoform 1
FANCA	NM_000135	Fanconi anemia, complementation group A isoform
PDGFRL	NM_006207	platelet-derived growth factor receptor-like
ABCD1	NM_000033	ATP-binding cassette, sub-family D (ALD), member
SULT1B1	NM_014465	sulfotransferase family, cytosolic, 1B, member
GJB2	NM_004004	gap junction protein beta 2
CASC4	NM_177974	cancer susceptibility candidate 4 isoform b
EIF5A2	NM_020390	eIF-5A2 protein
TTC39A	NM_001080494	tetratricopeptide repeat domain 39A
FRG2	NM_001005217	FSHD region gene 2
TRIP11	NM_004239	thyroid hormone receptor interactor 11
SDCBP2	NM_080489	syndecan binding protein 2 isoform a
PSG6	NM_001031850	pregnancy specific beta-1-glycoprotein 6 isoform
PPP1R14A	NM_033256	protein phosphatase 1, regulatory (inhibitor)
JAK1	NM_002227	janus kinase 1
CD28	NM_006139	CD28 antigen precursor
BID	NM_197966	BH3 interacting domain death agonist isoform 1
MARCH9	NM_138396	membrane-associated RING-CH protein IX
OR10A6	NM_001004461	olfactory receptor, family 10, subfamily A,
RAB11B	NM_004218	RAB11B, member RAS oncogene family
FLJ40296	NM_198441	hypothetical protein LOC122183
TAZ	NM_000116	tafazzin isoform 1
GIN1	NM_017676	zinc finger, H2C2 domain containing
IL11RA	NM_147162	interleukin 11 receptor, alpha isoform 2
C14orf102	NM_017970	hypothetical protein LOC55051 isoform 1
AQP2	NM_000486	aquaporin 2
EXOSC5	NM_020158	exosome component Rrp46
MUPCDH	NM_021924	mucin and cadherin-like isoform 1
GHITM	NM_014394	growth hormone inducible transmembrane protein
OR5M11	NM_001005245	olfactory receptor, family 5, subfamily M,
TMED3	NM_007364	transmembrane emp24 domain containing 3
GP9	NM_000174	glycoprotein IX (platelet)
TBC1D4	NM_014832	TBC1 domain family, member 4
PCDHGA10	NM_032090	protocadherin gamma subfamily A, 10 isoform 2
DSC3	NM_001941	desmocollin 3 isoform Dsc3a preproprotein
FICD	NM_007076	Huntingtin interacting protein E
TNS1	NM_022648	tensin
OTUD5	NM_017602	OTU domain containing 5
PXDNL	NM_144651	peroxidasin homolog-like
LGALS13	NM_013268	placental protein 13
DLAT	NM_001931	dihydrolipoamide S-acetyltransferase
DAP3	NM_033657	death-associated protein 3
KIAA1026	NM_001017999	kazrin isoform C
OR2T27	NM_001001824	olfactory receptor, family 2, subfamily T,
CCL5	NM_002985	small inducible cytokine A5 precursor
N4BP2L2	NM_014887	phosphonoformate immuno-associated protein 5
SEMA3A	NM_006080	semaphorin 3A precursor
ZNF100	NM_173531	zinc finger protein 100
C2orf7	NM_032319	chromosome 2 open reading frame 7
RPAP3	NM_024604	RNA polymerase II associated protein 3
RAB27A	NM_183234	Ras-related protein Rab-27A
MS4A1	NM_021950	membrane-spanning 4-domains, subfamily A, member
ZNF33A	NM_006954	zinc finger protein 33A isoform a
CTBS	NM_004388	chitobiase, di-N-acetyl-
PAQR5	NM_017705	progestin and adipoQ receptor family member V
CLU	NM_203339	clusterin isoform 2
CTBP1	NM_001328	C-terminal binding protein 1 isoform 1
FLYWCH1	NM_032296	FLYWCH-type zinc finger 1 isoform a
SNIP1	NM_024700	Smad nuclear interacting protein
KIAA1576	NM_020927	hypothetical protein LOC57687
GPR148	NM_207364	G protein-coupled receptor 148
CHCHD2	NM_016139	coiled-coil-helix-coiled-coil-helix domain
STX12	NM_177424	syntaxin 12
PIPOX	NM_016518	L-pipecolic acid oxidase
IRF5	NM_001098630	interferon regulatory factor 5 isoform b
C2orf29	NM_017546	hypothetical protein LOC55571
CAMK2A	NM_015981	calcium/calmodulin-dependent protein kinase IIA
DCBLD2	NM_080927	discoidin, CUB and LCCL domain containing 2
AP3S1	NM_001284	adaptor-related protein complex 3, sigma 1
ACRV1	NM_020115	acrosomal vesicle protein 1 isoform k precursor
VPS37A	NM_152415	hepatocellular carcinoma related protein 1
MMP9	NM_004994	matrix metalloproteinase 9 preproprotein
CD55	NM_000574	decay accelerating factor for complement isoform
P2RY6	NM_004154	pyrimidinergic receptor P2Y6
PFDN4	NM_002623	prefoldin subunit 4
PCGF1	NM_032673	polycomb group ring finger 1
CRTAM	NM_019604	class-I MHC-restricted T cell associated
C18orf55	NM_014177	hypothetical protein LOC29090
LIPI	NM_198996	lipase, member I
ZMAT2	NM_144723	zinc finger, matrin type 2
STK40	NM_032017	serine/threonine kinase 40
CDH6	NM_004932	cadherin 6, type 2 preproprotein
KIAA0090	NM_015047	hypothetical protein LOC23065
USP12	NM_182488	ubiquitin-specific protease 12-like 1
MAGED1	NM_006986	melanoma antigen family D, 1 isoform b
PDZD11	NM_016484	PDZ domain containing 11
UHMK1	NM_175866	kinase interacting stathmin
PSMD1	NM_002807	proteasome 26S non-ATPase subunit 1
POGZ	NM_145796	pogo transposable element with ZNF domain
NFE2L3	NM_004289	nuclear factor (erythroid-derived 2)-like 3
AMELX	NM_182681	amelogenin (X chromosome) isoform 2 precursor
UTX	NM_021140	ubiquitously transcribed tetratricopeptide
FIGNL1	NM_001042762	fidgetin-like 1
LAPTM5	NM_006762	lysosomal associated multispanning membrane
SCMH1	NM_012236	sex comb on midleg 1 isoform 2
FKBP1A	NM_054014	FK506-binding protein 1A
SRGN	NM_002727	serglycin precursor
TAAR9	NM_175057	trace amine associated receptor 9
CCL18	NM_002988	small inducible cytokine A18 precursor
CD2AP	NM_012120	CD2-associated protein
CYP21A2	NM_000500	cytochrome P450, family 21, subfamily A,
C7orf53	NM_182597	hypothetical protein LOC286006
CADM1	NM_001098517	immunoglobulin superfamily, member 4D isoform 2
LOC283951	NM_001010878	hypothetical protein LOC283951
APPBP2	NM_006380	amyloid beta precursor protein-binding protein
NUMB	NM_001005744	numb homolog isoform 2
ARL15	NM_019087	ADP-ribosylation factor-like 15
SFTPH	NM_001101341	surfactant associated protein H
KRTCAP2	NM_173852	keratinocyte associated protein 2
MUC1	NM_001044392	mucin 1 isoform 7 precursor
IRGC	NM_019612	immunity-related GTPase family, cinema
PGM3	NM_015599	phosphoglucomutase 3
LIMS2	NM_017980	LIM and senescent cell antigen-like domains 2
C1orf84	NM_001012961	hypothetical protein LOC149469
UPRT	NM_145052	uracil phosphoribosyltransferase (FUR1) homolog
ZBTB7A	NM_015898	zinc finger and BTB domain containing 7A
ZDHHC16	NM_032327	Abl-philin 2 isoform 1
DKFZP586H2123	NM_001001991	regeneration associated muscle protease isoform
C11orf61	NM_024631	hypothetical protein LOC79684
ST18	NM_014682	suppression of tumorigenicity 18
B3GNT6	NM_138706	UDP-GlcNAc:betaGal
WFDC13	NM_172005	WAP four-disulfide core domain 13 precursor
RALY	NM_007367	RNA binding protein (autoantigenic,
PMFBP1	NM_031293	polyamine modulated factor 1 binding protein 1
APOL3	NM_145641	apolipoprotein L3 isoform 3
ADSL	NM_000026	adenylosuccinate lyase isoform a
CIRBP	NM_001280	cold inducible RNA binding protein
SNX16	NM_152836	sorting nexin 16 isoform a
NUDT22	NM_032344	nudix (nucleoside diphosphate linked moiety
COPS2	NM_004236	COP9 constitutive photomorphogenic homolog
SOX21	NM_007084	SRY-box 21
CETP	NM_000078	cholesteryl ester transfer protein, plasma
GDPD1	NM_182569	glycerophosphodiester phosphodiesterase domain
DACT3	NM_145056	thymus expressed gene 3-like
ACCN5	NM_017419	amiloride-sensitive cation channel 5,
YTHDF1	NM_017798	YTH domain family, member 1
CASC1	NM_018272	cancer susceptibility candidate 1 isoform a
LOC202459	NM_145303	hypothetical protein LOC202459
SPATS1	NM_145026	spermatogenesis associated, serine-rich 1
GART	NM_175085	phosphoribosylglycinamide formyltransferase,
GIMAP7	NM_153236	GTPase, IMAP family member 7
FRS3	NM_006653	fibroblast growth factor receptor substrate 3
FAM65C	NM_080829	hypothetical protein LOC140876
RTEL1	NM_032957	regulator of telomere elongation helicase 1
DCST1	NM_152494	DC-STAMP domain containing 1
MKS1	NM_017777	Meckel syndrome, type 1
GCNT3	NM_004751	glucosaminyl (N-acetyl) transferase 3, mucin
SCN2A	NM_021007	sodium channel, voltage-gated, type II, alpha
